incid,date,year,time,ofcage,ofcrace,ofcgender,ofcexp,ofczpro,ofcteam,tofc,loc,natinc,light,light1,witness,audio_,video,susweap,susweap1,susage,susrace,susgender,flag1,flag2,flag3,alcohol,drug,mental,esl,reason,resist,resist1,resist2,control,control1,control2,typecontrol,typecontrol1,typecontrol2,ground,susinjury,ofcinjury,suspart,ofcpart,FID
281,2016/01/17 00:00:00+00,2016,1450,40,1,0,10,28.1,7,2,24,24244,3,,0,0,0,1,.,26,3,0,0,0,0,0,0,0,1,1,2,4,5,2,3,3,1,.,.,1,0,1,.,1,1
282,2016/01/17 00:00:00+00,2016,122,29,1,0,3,32.13,5,2,84,27111,2,,0,0,0,1,.,21,1,0,0,0,0,1,1,0,0,1,2,3,4,2,3,4,1,.,.,0,1,0,10,.,2
283,2016/01/17 00:00:00+00,2016,1450,27,1,0,0,34.27,7,2,24,24244,3,,0,0,0,1,.,26,3,0,0,0,0,0,0,0,1,1,2,4,5,2,3,3,1,.,.,1,0,1,.,1,3
284,2016/01/18 00:00:00+00,2016,139,37,1,0,11,38.98,1,2,1,8333,2,,0,1,0,3,5,30,1,0,1,0,0,0,1,0,0,4,2,3,3,2,5,5,7,.,.,1,1,0,7,.,4
285,2016/01/20 00:00:00+00,2016,42,29,1,0,5,.,2,2,1,21000,2,,2,0,0,1,.,25,4,0,0,0,0,1,0,0,1,1,2,3,3,2,3,3,1,.,.,1,1,0,10,.,5
286,2016/01/22 00:00:00+00,2016,201,29,1,0,8,.,4,2,1,27111,2,,0,0,0,1,.,33,1,0,0,0,0,0,1,0,0,4,2,4,4,2,3,3,1,.,.,1,1,1,6,10,6
287,2016/01/22 00:00:00+00,2016,1941,29,1,0,2,60.24,4,1,1,3111,2,,3,0,0,1,.,27,1,1,0,0,0,1,0,0,0,1,5,5,5,2,3,3,1,.,.,1,0,1,.,7,7
288,2016/01/30 00:00:00+00,2016,151,26,1,0,3,37.29,7,3,3,12000,2,,2,0,0,1,.,34,4,0,0,0,0,1,0,0,0,3,2,4,5,2,4,4,5,.,.,1,1,0,10,.,8
289,2016/01/30 00:00:00+00,2016,151,22,2,0,1,43.96,7,3,3,12000,2,,2,0,0,1,.,21,4,1,0,0,0,1,0,0,0,3,2,4,5,2,4,4,5,.,.,1,1,0,10,.,9
290,2016/01/31 00:00:00+00,2016,2240,28,1,0,2,48.89,7,1,1,94555,2,,0,1,1,3,.,30,2,0,0,0,0,1,0,0,0,2,2,3,4,2,4,5,1,5,9,1,1,1,9,10,10
291,2016/02/06 00:00:00+00,2016,2345,27,1,1,2,23.89,5,3,97,24000,2,,0,0,0,1,.,15,1,1,0,0,0,0,0,1,0,1,2,3,4,2,3,4,1,.,.,1,1,1,5,10,11
292,2016/02/13 00:00:00+00,2016,1753,33,1,0,10,.,7,2,18,37000,3,,4,1,1,1,.,43,1,0,0,0,0,0,0,1,0,1,2,3,4,2,3,3,1,.,.,1,1,0,10,.,12
293,2016/02/13 00:00:00+00,2016,243,28,1,0,6,46.77,2,3,80,56466,3,,1,0,0,1,.,18,1,0,0,0,0,1,0,0,0,1,2,3,4,2,3,5,1,7,.,1,1,1,1,10,13
294,2016/02/13 00:00:00+00,2016,1753,28,1,1,2,31.55,7,2,18,37000,3,,4,1,1,1,.,43,1,0,0,0,0,0,0,1,0,1,2,3,4,2,3,3,1,.,.,1,1,0,10,.,14
295,2016/02/19 00:00:00+00,2016,2205,31,1,0,8,36.07,2,5,24,27111,2,,0,0,0,1,.,20,2,0,0,0,0,1,0,0,0,1,2,3,4,2,3,4,1,.,.,1,1,0,10,.,15
296,2016/02/19 00:00:00+00,2016,2205,28,1,0,2,48.89,7,5,24,27111,2,,0,0,0,1,.,20,2,0,0,0,0,1,0,0,0,1,2,3,4,2,3,4,1,.,.,1,1,0,10,.,16
297,2016/03/08 00:00:00+00,2016,2336,27,1,0,2,33.91,5,2,25,12000,2,.,3,1,1,1,5,30,2,1,0,0,0,1,0,0,0,1,2,3,4,2,3,3,1,.,.,0,1,0,10,.,17
298,2016/03/10 00:00:00+00,2016,59,37,1,0,11,38.98,1,1,86,35333,2,.,0,0,0,1,.,27,4,0,0,0,0,0,1,0,0,4,2,4,4,2,5,5,7,.,.,0,1,0,7,.,18
299,2016/03/13 00:00:00+00,2016,317,28,1,0,2,48.89,7,1,12,12000,2,.,0,0,0,1,.,34,2,0,0,0,0,1,0,0,0,4,3,4,4,2,3,4,1,5,.,1,0,0,.,.,19
300,2016/03/14 00:00:00+00,2016,1308,35,1,0,12,.,6,3,1,27000,1,,0,1,1,1,.,26,2,0,0,0,0,0,0,0,0,2,3,4,4,2,3,5,1,7,.,0,0,1,.,10,20
301,2016/03/15 00:00:00+00,2016,11,34,1,0,8,17.61,5,3,83,8222,2,.,2,0,0,4,.,34,1,0,0,0,0,1,0,0,0,1,2,3,4,2,3,3,1,.,.,0,1,0,1,.,21
302,2016/03/18 00:00:00+00,2016,2057,29,1,0,3,54.11,7,3,12,5000,2,,1,0,0,1,.,38,1,1,0,0,0,1,0,0,0,1,3,4,4,2,3,3,1,9,.,0,1,0,6,.,22
303,2016/03/20 00:00:00+00,2016,227,26,1,0,2,63.02,2,4,21,12000,2,.,.,1,1,1,.,20,1,1,0,0,0,1,0,0,0,1,2,3,4,2,3,3,1,.,.,0,1,0,6,.,23
304,2016/03/20 00:00:00+00,2016,205,22,2,0,1,43.96,7,2,12,14000,2,.,.,1,1,1,.,35,2,0,0,0,0,1,0,0,0,3,2,3,4,2,3,4,1,.,.,1,1,0,1,.,24
305,2016/03/24 00:00:00+00,2016,2121,28,1,1,1,38.67,1,1,1,14100,2,.,.,0,1,1,.,62,1,0,0,0,0,1,0,0,0,4,.,.,.,2,2,2,9,.,.,0,1,.,6,.,25
