Incident Number,Incident Date Time,Incident Location,Officers Involved,Officers Race,Officers Ethnicity,Officers Sex,Officer Battered,Officer Injured,Officer Medical Treatment,Electronic Device Used,Chemical Agent Used,Tackle Take Down,Impact Weapons Used,Physical Strikes Made,Deflation Device Used,K9 Unit Involved,Offenders Involved,Offenders Race,Offenders Ethnicity,Offenders Sex,Offender Arrested,Offender Injured,Offender Medical Treatment,Witnesses Involved,Status,Location
2018-00079161,02/25/2018 10:23:00 PM,26TH / 15 LAWSONA BLV,1,W,NH,M,Yes,No,No,No,No,No,No,Yes,No,Yes,1,W,NH,M,Felony,Yes,Yes,0,Unmapped,
2017-00246664,06/25/2017 03:03:00 AM,E PINE ST / S ORANGE AV,2,W;W,NH;NH,M;M,No,No,No,No,Yes,No,No,No,No,No,1,W,HI,M,Misdemeanor,No,No,0,M,"(28.541300099, -81.379028582)"
2013-00544482,12/29/2013 11:02:00 PM,,1,B,NH,M,No,No,No,No,Yes,No,No,No,No,No,0,U,NH,U,Not Arrested,No,No,0,Unmapped,
2015-00076581,02/22/2015 02:34:00 AM,1 Block of S ORANGE AV,2,W;W,NH;NH,M;M,No,No,No,No,Yes,No,No,No,No,No,2,U;B,NH;NH,U;M,Misdemeanor,No,No,0,Mapped,"(28.54170622, -81.37903842)"
2013-00109969,03/15/2013 02:49:00 AM,1 Block of W CENTRAL BV,1,B,NH,M,No,No,No,No,Yes,No,No,No,No,No,1,U,NH,U,Misdemeanor,No,No,0,Mapped,"(28.54209652, -81.37986019)"
2013-00513034,12/08/2013 02:58:00 AM,E PINE ST / S ORANGE AV,2,W;W,HI;NH,M;M,No,No,No,Yes,No,No,No,No,No,No,1,W,NH,M,Felony,Yes,Yes,0,Mapped,"(28.5413001, -81.37902858)"
2015-00343386,08/22/2015 06:41:00 AM,100 Block of N ROSALIND AV,2,W;W,NH;NH,M;M,Yes,No,No,Yes,No,No,No,No,No,No,1,W,NH,M,Felony,No,No,1,Mapped,"(28.54423552, -81.37591967)"
2013-00232520,06/06/2013 08:23:00 PM,1400 Block of BLACKWATER POND DR,2,W;W,NH;NH,M;M,No,No,No,Yes,No,No,No,No,No,No,1,U,NH,U,Felony,Yes,Yes,1,Mapped,"(28.55858106, -81.16547025)"
2016-00179965,05/01/2016 10:56:00 AM,S SEMORAN BV / GATLIN AV,1,W,NH,M,No,No,No,No,No,Yes,No,No,No,No,1,W,NH,M,Felony,Yes,Yes,1,Mapped,"(28.49526915, -81.310215)"
2011-00012419,01/08/2011 11:43:00 PM,1000 Block of POLK ST,1,W,NH,M,No,No,No,Yes,No,No,No,No,No,No,1,B,NH,M,Felony,Yes,No,1,Mapped,"(28.54422358, -81.39424206)"
