,DATE,CC#,DISTRICT,LOCATION,TYPE,X (LONG),Y (LAT),COORDINATES,Zip Codes,State,City
0,06/28/2015 12:00:00 AM,158F12891,SWD,3436 Wilkens Ave,Shooting,-76.67568440000001,39.27292979999999,"(39.27293, -76.675684)",27950.0,MD,Baltimore
1,09/28/2015 12:00:00 AM,158I12884,SWD,1900 Grinnalds Ave,Shooting,-76.65354570000001,39.266968,"(39.266968, -76.653546)",27953.0,MD,Baltimore
2,11/15/2015 12:00:00 AM,153K06453,ED,700 Mura St,Shooting,-76.6102215,39.3042789,"(39.304279, -76.610221)",13645.0,MD,Baltimore
3,10/11/2015 12:00:00 AM,154J04680,NED,3627 Elmora Ave,Taser,-76.5694629,39.315777000000004,"(39.315777, -76.569463)",26956.0,MD,Baltimore
4,11/06/2015 12:00:00 AM,157K02397,WD,1007 Brantley Ave,Injured Person,-76.6366877,39.296034999999996,"(39.296035, -76.636688)",27301.0,MD,Baltimore
5,11/20/2015 12:00:00 AM,155K08978,ND,3300 Falls Rd,Injured Person,-76.6366434,39.3270535,"(39.327054, -76.636643)",14006.0,MD,Baltimore
6,07/27/2015 12:00:00 AM,158G12689,SWD,200 S Augusta Ave,Shooting,-76.6873017,39.283278,"(39.283278, -76.687302)",27950.0,MD,Baltimore
7,10/06/2015 12:00:00 AM,154J02357,NED,7208 Harford Rd,Taser,-76.5499723,39.3685459,"(39.368546, -76.549972)",27957.0,MD,Baltimore
8,11/08/2015 12:00:00 AM,154K03263,NED,3400 Harford Rd,Hands,-76.5848847,39.329344,"(39.329344, -76.584885)",27307.0,MD,Baltimore
9,11/11/2015 12:00:00 AM,156K05034,NWD,3700 Oakmont Ave,Shooting,-76.6796453,39.343138399999994,"(39.343138, -76.679645)",27295.0,MD,Baltimore
10,11/15/2015 12:00:00 AM,159K06678,SD,1101 Russell St,Injured Person,-76.62520970000001,39.2773615,"(39.277362, -76.62521)",27953.0,MD,Baltimore
11,03/06/2014 12:00:00 AM,145C01988,ND,1200 W Northern Pkwy,Discharge,-76.64630600000001,39.361414,"(39.361414, -76.646306)",14001.0,MD,Baltimore
12,04/29/2014 12:00:00 AM,201440429M0061 (PA),,"300 Brentwood Ave, York PA",Shooting,0.0,0.0,"(0.0, 0.0)",,MD,Baltimore
13,05/20/2014 12:00:00 AM,141E05083,CD,1800 N Calvert St,Vehicle,-76.613741,39.309996000000005,"(39.309996, -76.613741)",13645.0,MD,Baltimore
14,06/06/2014 12:00:00 AM,147F00214,WD,100 N Fremont Ave,Shooting,-76.629581,39.29012,"(39.29012, -76.629581)",13642.0,MD,Baltimore
15,06/13/2014 12:00:00 AM,141F05906,CD,0001 W Preston St,Shooting (Animal),-76.616219,39.30447,"(39.30447, -76.616219)",13642.0,MD,Baltimore
16,06/15/2014 12:00:00 AM,146F06956,NWD,5000 Beaufort Ave,Shooting,-76.677826,39.345395,"(39.345395, -76.677826)",27295.0,MD,Baltimore
17,07/01/2014 12:00:00 AM,147G00258,WD,1300 N Fremont Ave,Vehicle,-76.636964,39.303587,"(39.303587, -76.636964)",27301.0,MD,Baltimore
