,X,Y,OBJECTID,Date,Shift,Blocked_Location_of_Incident,Beat,City_1,Type_of_Resistance,Response,Force_Caused_Injury,Off_Injured,Call_Dispatched_via_911,Call_was_Self_Initiated,Call_in_Response_To,State,City
0,-86.26993899291159,41.6953387412563,1,2017/02/19 05:00:00+00,Off Duty 3rd,1500 N Portage Ave,20.0,South Bend,Physical,Physical/Taser,Yes,Yes,No,Yes,Fight,IN,South Bend
1,-86.25356191466071,41.67911138451179,2,2017/01/01 05:00:00+00,3rd,300 N Lafayette Blvd,21.0,South Bend,Physical,Physical,No,No,Yes,No,Fight,IN,South Bend
2,-86.27403478621879,41.68536658102921,3,2017/01/15 05:00:00+00,2nd,1600 Lincoln Way W,23.0,South Bend,Physical,Physical,Yes,No,Yes,No,Unwanted Person,IN,South Bend
3,-86.2698285434898,41.687828629342,4,2017/01/23 05:00:00+00,1st,1000 N Diamond Ave,21.0,South Bend,Physical,Taser,No,No,Yes,No,Warrant,IN,South Bend
4,-86.22555944884199,41.6548111506704,5,2017/02/10 05:00:00+00,2nd,1900 S Tywyckenham Dr,15.0,South Bend,Physical,Taser,Yes,No,No,Yes,Traffic Stop,IN,South Bend
5,-86.267967856357,41.6809047304587,6,2017/02/09 05:00:00+00,3rd,500 W Cleveland Rd,23.0,South Bend,Physical,Physical,Yes,No,Yes,No,Armed Disturbance,IN,South Bend
6,-86.2511990712752,41.6465481221085,7,2017/02/06 05:00:00+00,3rd,2700 S Main St,14.0,South Bend,Physical,Physical,No,No,Yes,No,Armed Disturbance,IN,South Bend
7,-86.29340890079371,41.6954396549764,8,2017/03/05 05:00:00+00,2nd,1600 N Bendix Dr,24.0,South Bend,Physical,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
8,-86.26848386948099,41.6838564139429,9,2017/03/13 04:00:00+00,3rd,700 N Cleveland Ave,21.0,South Bend,Physical,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
9,-86.280104345447,41.6957465500275,10,2017/03/17 04:00:00+00,3rd,1600 N O'Brien St,20.0,South Bend,Physical,Physical,No,No,Yes,No,Domestic ,IN,South Bend
10,-86.2776323104806,41.689260835130504,11,2017/03/27 04:00:00+00,2nd,1100 N Brookfield St,19.0,South Bend,Armed/Edged Weapon,Taser,No,No,Yes,No,Armed Suspect,IN,South Bend
11,-86.2878924806287,41.7178134801133,12,2017/03/01 05:00:00+00,1st,2700 N Rock Maple Ct,22.0,South Bend,Armed/Edged Weapon,Taser,No,No,Yes,No,Armed Disturbance,IN,South Bend
12,-86.21989216958191,41.6493353869939,29,2017/05/10 04:00:00+00,2nd,2500 S Sampson St,15.0,South Bend,Physical,Physical,No,No,No,Yes ,Warrant,IN,South Bend
13,-86.2052623989046,41.6609590598939,30,2017/05/14 04:00:00+00,1st,1300 S 30th St,12.0,South Bend,Physical,Physical,No,No,No,Yes,Vehicle Theft,IN,South Bend
14,-86.262121444077,41.6789171354092,31,2017/05/17 04:00:00+00,1st,900 W LaSalle Ave,23.0,South Bend,Physical,Taser,No,No,Yes,No,Warrant,IN,South Bend
15,-86.25895283569858,41.62879930107471,32,2017/05/19 04:00:00+00,2nd,700 W Ireland Rd,16.0,South Bend,Physical,Taser,No,No,Yes,No,Theft,IN,South Bend
16,-86.261288687883,41.6721339127022,33,2017/06/07 04:00:00+00,2nd,400 S Chapin St,27.0,South Bend,Physical,Taser,No,No,No,Yes,Vehicle Theft,IN,South Bend
17,-86.19778337142651,41.6656823380789,34,2017/06/17 04:00:00+00,3rd,3600 E Mishawaka Ave,12.0,South Bend,Physical,Physical,No,Yes,Yes,No,Domestic,IN,South Bend
18,-86.2164113862946,41.69631339110921,35,2017/06/18 04:00:00+00,Off Duty 3rd,1500 N Ironwood Dr,11.0,South Bend,Physical,Taser,No,No,No,Yes,Fight,IN,South Bend
19,-86.26125696401431,41.681578334566005,36,2017/06/20 04:00:00+00,3rd,800 Lincolnway W,23.0,South Bend,Physical,Physical,No,No,No,Yes,Pursuit,IN,South Bend
20,-86.2442957625511,41.6792149469735,37,2017/06/22 04:00:00+00,3rd,300 N Niles Ave,27.0,South Bend,Physical,Taser,No,No,Yes,No,Robbery,IN,South Bend
21,-86.2261582897928,41.6590817354322,38,2017/06/26 04:00:00+00,3rd,1600 S Hilde Ct,13.0,South Bend,Physical,OC Spray,No,No,Yes,No,Warrant,IN,South Bend
22,-86.2837186093298,41.687367340346,39,2017/07/02 04:00:00+00,3rd,2400 W Bonds Ave,24.0,South Bend,Physical,OC Spray,No,No,Yes,No,Unwanted Person,IN,South Bend
23,-86.2409436594404,41.6580900585972,40,2017/07/05 04:00:00+00,1st,700 E Indiana Ave,14.0,South Bend,Physical,OC Spray,Yes,Yes,Yes,No,Domestic,IN,South Bend
24,-86.25719016770461,41.6721991699155,41,2017/07/05 04:00:00+00,3rd,600 W Western Ave,27.0,South Bend,Physical,Taser,Yes,No,Yes,No,Disturbance,IN,South Bend
25,-86.2092700011746,41.6340726492147,42,2017/07/11 04:00:00+00,3rd,4200 Irish Hills Dr,15.0,South Bend,Physical,Physical,No,No,Yes,No,Domestic,IN,South Bend
26,-86.2496674952308,41.6515603657457,43,2017/07/26 04:00:00+00,3rd,2200 S Michigan St,14.0,South Bend,Physical,Taser,No,No,Yes,No,Unwanted Person,IN,South Bend
27,-86.2426317024502,41.6580461891953,44,2017/07/27 04:00:00+00,3rd,600 E Indiana Ave,14.0,South Bend,Physical,Physical,No,No,Yes,No,Unwanted Person,IN,South Bend
28,-86.2354594569635,41.6912602590239,46,2017/07/23 04:00:00+00,Off Duty 3rd,1200 N Eddy St,10.0,South Bend,OC/Physical,OC Spray,No,Yes,No,Yes,Fight,IN,South Bend
29,-86.2900568364517,41.670129386757495,47,2017/08/10 04:00:00+00,2nd,2900 W Huron St,26.0,South Bend,Physical,Taser,No,No,No,Yes,Fleeing,IN,South Bend
30,-86.27419340968589,41.6721126284764,48,2017/08/13 04:00:00+00,3rd,400 S Kosciuszko Ave,26.0,South Bend,Physical,Physical,No,Yes,No,Yes,Fight,IN,South Bend
31,-86.27433383436008,41.67210038553029,49,2017/08/13 04:00:00+00,3rd,1600 W Western Ave,26.0,South Bend,Physical,Physical,Yes,Yes,No,Yes,Fight,IN,South Bend
32,-86.2835231391055,41.6674207008804,50,2017/08/14 04:00:00+00,3rd,2400 W Poland St,26.0,South Bend,Physical,Physical,Yes,No,Yes,No,Domestic,IN,South Bend
33,-86.23480441897391,41.6424297303669,51,2017/08/24 04:00:00+00,1st,3100 Miami St,15.0,South Bend,Physical,Taser,No,No,Yes,No,Disturbance,IN,South Bend
34,-86.23910978801202,41.6274146157452,52,2017/08/25 04:00:00+00,1st,900 W Erskine Plaza,16.0,South Bend,Physical,Taser,Yes,No,Yes,No,Robbery,IN,South Bend
35,-86.2478537039228,41.6557248886693,53,2017/09/07 04:00:00+00,2nd,1800 S St. Joseph St,14.0,South Bend,Armed/Handgun,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
36,-86.23492627485041,41.697028523348706,54,2017/09/09 04:00:00+00,2nd,Moose Krause Circle,,Notre Dame,Physical,Physical,No,No,No,Yes,Fight,IN,South Bend
37,-86.22701516331881,41.647375900149996,55,2017/09/11 04:00:00+00,2nd,2700 S York Rd,15.0,South Bend,Physical,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
38,-86.2498789913496,41.6397318289044,56,2017/09/19 04:00:00+00,3rd,3400 S Michigan St,15.0,South Bend,Physical,Physical,No,No,Yes,No,Unwanted Person,IN,South Bend
39,-86.3220295052158,41.6658147795879,57,2017/09/20 04:00:00+00,2nd,56900 W Mayflower Rd,28.0,South Bend,Physical,Taser,No,No,Yes,No,Unwanted Person,IN,South Bend
40,-86.25970174110891,41.6815590282332,58,2017/09/23 04:00:00+00,2nd,500 N Scott St,21.0,South Bend,Armed/Edged Weapon,Physical,No ,No,Yes,No,Unwanted Person,IN,South Bend
41,-86.276401451358,41.6892902300053,59,2017/10/02 04:00:00+00,2nd,1100 N College St,19.0,South Bend,Physical,Taser,No,No,Yes,No,Domestic,IN,South Bend
42,-86.23921652339291,41.627610960729,63,2017/11/09 05:00:00+00,2nd,900 W Erskine Plaza,16.0,South Bend,Physical,Physical,No,No,No,Yes,Theft,IN,South Bend
43,-86.2974185807782,41.6774578161585,64,2017/10/13 04:00:00+00,2nd,200 N Falcon St,28.0,South Bend,Physical,Physical,No,No,Yes,No,Domestic,IN,South Bend
44,-86.26138410457209,41.6732964304006,65,2017/10/19 04:00:00+00,3rd,300 S Chapin St,27.0,South Bend,Physical,Taser,Yes,No,No,Yes,Domestic,IN,South Bend
45,-86.2739313794153,41.6821158094352,66,2017/10/27 04:00:00+00,2nd,1600 W Fassnacht St,23.0,South Bend,Physical,Taser,No,No,No,Yes,Warrant,IN,South Bend
46,-86.24772506512551,41.64534170251729,67,2017/11/02 04:00:00+00,3rd,200 E Oakside St,14.0,South Bend,Physical,Physical,Yes,No,Yes,No,Shots Fired,IN,South Bend
47,-86.2764838475646,41.6684732093857,68,2017/11/06 05:00:00+00,3rd,700 S Jackson St,26.0,South Bend,Physical,Physical,No,No,No,Yes,Warrant,IN,South Bend
