,x,y,date,type_of_resistance,response,force_caused_injury,off_injured,call_dispatched_via_911,call_was_self_initiated,call_in_response_to,state,city
0,-86.26993899291159,41.6953387412563,2017/02/19 05:00:00+00,Physical,Physical/Taser,Yes,Yes,No,Yes,Fight,IN,South Bend
1,-86.25356191466071,41.67911138451179,2017/01/01 05:00:00+00,Physical,Physical,No,No,Yes,No,Fight,IN,South Bend
2,-86.27403478621879,41.68536658102921,2017/01/15 05:00:00+00,Physical,Physical,Yes,No,Yes,No,Unwanted Person,IN,South Bend
3,-86.2698285434898,41.687828629342,2017/01/23 05:00:00+00,Physical,Taser,No,No,Yes,No,Warrant,IN,South Bend
4,-86.22555944884199,41.6548111506704,2017/02/10 05:00:00+00,Physical,Taser,Yes,No,No,Yes,Traffic Stop,IN,South Bend
5,-86.267967856357,41.6809047304587,2017/02/09 05:00:00+00,Physical,Physical,Yes,No,Yes,No,Armed Disturbance,IN,South Bend
6,-86.2511990712752,41.6465481221085,2017/02/06 05:00:00+00,Physical,Physical,No,No,Yes,No,Armed Disturbance,IN,South Bend
7,-86.29340890079371,41.6954396549764,2017/03/05 05:00:00+00,Physical,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
8,-86.26848386948099,41.6838564139429,2017/03/13 04:00:00+00,Physical,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
9,-86.280104345447,41.6957465500275,2017/03/17 04:00:00+00,Physical,Physical,No,No,Yes,No,Domestic ,IN,South Bend
10,-86.2776323104806,41.68926083513049,2017/03/27 04:00:00+00,Armed/Edged Weapon,Taser,No,No,Yes,No,Armed Suspect,IN,South Bend
11,-86.2878924806287,41.7178134801133,2017/03/01 05:00:00+00,Armed/Edged Weapon,Taser,No,No,Yes,No,Armed Disturbance,IN,South Bend
12,-86.21989216958191,41.6493353869939,2017/05/10 04:00:00+00,Physical,Physical,No,No,No,Yes ,Warrant,IN,South Bend
13,-86.2052623989046,41.6609590598939,2017/05/14 04:00:00+00,Physical,Physical,No,No,No,Yes,Vehicle Theft,IN,South Bend
14,-86.262121444077,41.6789171354092,2017/05/17 04:00:00+00,Physical,Taser,No,No,Yes,No,Warrant,IN,South Bend
15,-86.25895283569858,41.62879930107471,2017/05/19 04:00:00+00,Physical,Taser,No,No,Yes,No,Theft,IN,South Bend
16,-86.261288687883,41.6721339127022,2017/06/07 04:00:00+00,Physical,Taser,No,No,No,Yes,Vehicle Theft,IN,South Bend
17,-86.19778337142652,41.6656823380789,2017/06/17 04:00:00+00,Physical,Physical,No,Yes,Yes,No,Domestic,IN,South Bend
18,-86.2164113862946,41.69631339110921,2017/06/18 04:00:00+00,Physical,Taser,No,No,No,Yes,Fight,IN,South Bend
19,-86.26125696401432,41.681578334566005,2017/06/20 04:00:00+00,Physical,Physical,No,No,No,Yes,Pursuit,IN,South Bend
20,-86.2442957625511,41.6792149469735,2017/06/22 04:00:00+00,Physical,Taser,No,No,Yes,No,Robbery,IN,South Bend
21,-86.2261582897928,41.6590817354322,2017/06/26 04:00:00+00,Physical,OC Spray,No,No,Yes,No,Warrant,IN,South Bend
22,-86.2837186093298,41.687367340346,2017/07/02 04:00:00+00,Physical,OC Spray,No,No,Yes,No,Unwanted Person,IN,South Bend
23,-86.2409436594404,41.6580900585972,2017/07/05 04:00:00+00,Physical,OC Spray,Yes,Yes,Yes,No,Domestic,IN,South Bend
24,-86.25719016770461,41.6721991699155,2017/07/05 04:00:00+00,Physical,Taser,Yes,No,Yes,No,Disturbance,IN,South Bend
25,-86.2092700011746,41.6340726492147,2017/07/11 04:00:00+00,Physical,Physical,No,No,Yes,No,Domestic,IN,South Bend
26,-86.2496674952308,41.6515603657457,2017/07/26 04:00:00+00,Physical,Taser,No,No,Yes,No,Unwanted Person,IN,South Bend
27,-86.2426317024502,41.6580461891953,2017/07/27 04:00:00+00,Physical,Physical,No,No,Yes,No,Unwanted Person,IN,South Bend
28,-86.2354594569635,41.6912602590239,2017/07/23 04:00:00+00,OC/Physical,OC Spray,No,Yes,No,Yes,Fight,IN,South Bend
29,-86.2900568364517,41.670129386757495,2017/08/10 04:00:00+00,Physical,Taser,No,No,No,Yes,Fleeing,IN,South Bend
30,-86.27419340968589,41.6721126284764,2017/08/13 04:00:00+00,Physical,Physical,No,Yes,No,Yes,Fight,IN,South Bend
31,-86.27433383436008,41.67210038553029,2017/08/13 04:00:00+00,Physical,Physical,Yes,Yes,No,Yes,Fight,IN,South Bend
32,-86.2835231391055,41.6674207008804,2017/08/14 04:00:00+00,Physical,Physical,Yes,No,Yes,No,Domestic,IN,South Bend
33,-86.23480441897391,41.6424297303669,2017/08/24 04:00:00+00,Physical,Taser,No,No,Yes,No,Disturbance,IN,South Bend
34,-86.23910978801202,41.6274146157452,2017/08/25 04:00:00+00,Physical,Taser,Yes,No,Yes,No,Robbery,IN,South Bend
35,-86.2478537039228,41.6557248886693,2017/09/07 04:00:00+00,Armed/Handgun,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
36,-86.23492627485041,41.69702852334871,2017/09/09 04:00:00+00,Physical,Physical,No,No,No,Yes,Fight,IN,South Bend
37,-86.22701516331881,41.647375900149996,2017/09/11 04:00:00+00,Physical,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
38,-86.2498789913496,41.6397318289044,2017/09/19 04:00:00+00,Physical,Physical,No,No,Yes,No,Unwanted Person,IN,South Bend
39,-86.3220295052158,41.6658147795879,2017/09/20 04:00:00+00,Physical,Taser,No,No,Yes,No,Unwanted Person,IN,South Bend
40,-86.25970174110891,41.6815590282332,2017/09/23 04:00:00+00,Armed/Edged Weapon,Physical,No ,No,Yes,No,Unwanted Person,IN,South Bend
41,-86.276401451358,41.6892902300053,2017/10/02 04:00:00+00,Physical,Taser,No,No,Yes,No,Domestic,IN,South Bend
42,-86.23921652339291,41.627610960729,2017/11/09 05:00:00+00,Physical,Physical,No,No,No,Yes,Theft,IN,South Bend
43,-86.2974185807782,41.6774578161585,2017/10/13 04:00:00+00,Physical,Physical,No,No,Yes,No,Domestic,IN,South Bend
44,-86.26138410457209,41.6732964304006,2017/10/19 04:00:00+00,Physical,Taser,Yes,No,No,Yes,Domestic,IN,South Bend
45,-86.2739313794153,41.6821158094352,2017/10/27 04:00:00+00,Physical,Taser,No,No,No,Yes,Warrant,IN,South Bend
46,-86.24772506512552,41.64534170251729,2017/11/02 04:00:00+00,Physical,Physical,Yes,No,Yes,No,Shots Fired,IN,South Bend
47,-86.2764838475646,41.6684732093857,2017/11/06 05:00:00+00,Physical,Physical,No,No,No,Yes,Warrant,IN,South Bend
48,-86.29981100634309,41.6756681427539,2017/11/14 05:00:00+00,Physical,Physical,No,No,No,Yes,Traffic Stop,IN,South Bend
49,-86.21033218434441,41.667400837714794,2017/11/14 05:00:00+00,Physical,Taser,No,No,Yes,No,Domestic,IN,South Bend
50,-86.2352644554344,41.6843067545685,2017/11/20 05:00:00+00,Armed/Handgun,Physical,No,No,Yes,No,Shots Fired,IN,South Bend
51,-86.2687200171195,41.665006864207896,2017/11/30 05:00:00+00,Physical,Physical,No,No,Yes,No,Hit and Run,IN,South Bend
52,-86.23523338742581,41.680546812821,2017/12/10 05:00:00+00,Physical,Physical,Yes,No,No,Yes,Vehicle Theft,IN,South Bend
53,-86.252087128315,41.679016024036,2017/12/10 05:00:00+00,Physical,Physical,Yes,No,Yes,No,Burglar Alarm,IN,South Bend
