,incident_date,force_type,subject_gender,suspect_race/sex,officer_age,officer_race/sex,state,city,lon,lat
0,2016-10-30,TASER,21/22,WM/WM,30,BM,DE,Newark,-75.749657,39.683723
1,2016-10-20,TASER,19,WM ,32,WM,DE,Newark,-75.749657,39.683723
2,2016-10-02,Handgun/TASER,27,WM,30/26,BM/WM,DE,Newark,-75.749657,39.683723
3,2016-09-17,Weaponless,18,WM,32,WM,DE,Newark,-75.749657,39.683723
4,2016-09-11,TASER,24,BM,47,WM,DE,Newark,-75.749657,39.683723
5,2016-09-05,Weaponless /TASER,20,WM,47/51,BM/WM,DE,Newark,-75.749657,39.683723
6,2016-06-10,Weaponless,44,BM,30,WM,DE,Newark,-75.749657,39.683723
7,2016-05-09,TASER,23,WM,25,WM,DE,Newark,-75.749657,39.683723
8,2016-04-29,Handgun/TASER,25,BM,32/31,WM/WM,DE,Newark,-75.749657,39.683723
9,2016-04-11,Handgun/TASER,22,WM,31/45,WF/WM,DE,Newark,-75.749657,39.683723
10,2016-03-18,TASER,22,WM,30,WM,DE,Newark,-75.749657,39.683723
