,Date,lat,lon,Incidents Number,Lethal,officerForceType,residentRace,officerRace,residentSex,officerSex
0,2014-08-23,39.7771,-86.1458,1,False,Less Lethal-Taser,Black,White,Male,Male
1,2014-08-28,39.7771,-86.1458,1,False,"Physical-Hands, Fist, Feet",White,White,Male,Male
2,2014-08-23,39.7771,-86.1458,1,False,Physical-Handcuffing,Black,White,Male,Male
3,2014-08-28,39.7771,-86.1458,1,False,Canine Bite,Black,White,Male,Male
4,2014-08-24,39.7771,-86.1458,1,False,Physical-Handcuffing,White,White,Male,Male
5,2014-08-24,39.7771,-86.1458,1,False,"Physical-Hands, Fist, Feet",White,White,Male,Male
6,2014-08-23,39.7771,-86.1458,1,False,Physical-Handcuffing,Black,White,Male,Male
7,2014-08-26,39.7771,-86.1458,1,False,,Black,Black,Male,Male
8,2014-08-25,39.7771,-86.1458,1,False,Physical-Handcuffing,White,White,Male,Male
9,2014-08-25,39.7771,-86.1458,1,False,"Physical-Hands, Fist, Feet",White,White,Male,Male
10,2014-08-23,39.7771,-86.1458,1,False,Physical-Weight Leverage,Black,White,Male,Male
11,2014-08-24,39.7771,-86.1458,1,False,Canine Bite,White,White,Male,Male
12,2014-08-24,39.7771,-86.1458,1,False,Physical-Handcuffing,White,White,Male,Male
13,2014-08-26,39.7771,-86.1458,1,False,"Physical-Hands, Fist, Feet",Black,White,Male,Male
14,2014-08-26,39.7771,-86.1458,1,False,Less Lethal-Taser,Black,White,Male,Male
15,2014-08-27,39.7771,-86.1458,1,False,"Physical-Hands, Fist, Feet",Black,White,Male,Male
16,2014-08-27,39.7771,-86.1458,1,False,Less Lethal-Personal CS/OC spray,Black,White,Male,Male
17,2014-08-29,39.7771,-86.1458,1,False,Physical-Weight Leverage,White,White,Male,Male
18,2014-08-28,39.7771,-86.1458,1,False,,White,Asian,Male,Female
19,2014-08-28,39.7771,-86.1458,1,False,Less Lethal-Personal CS/OC spray,White,White,Male,Male
20,2014-08-29,39.7771,-86.1458,1,False,Physical-Weight Leverage,White,White,Male,Male
21,2014-09-05,39.7771,-86.1458,1,False,Less Lethal-Taser,Black,White,Male,Male
22,2014-12-17,39.7771,-86.1458,1,False,Less Lethal-Taser,White,White,Female,Male
23,2014-08-29,39.7771,-86.1458,1,False,Canine Bite,White,White,Male,Male
24,2014-09-01,39.7771,-86.1458,1,False,"Physical-Hands, Fist, Feet",Black,White,Male,Male
25,2014-09-01,39.7771,-86.1458,1,False,,Bi-Racial,White,Male,Male
26,2014-09-01,39.7771,-86.1458,1,False,,Bi-Racial,White,Male,Female
27,2014-09-01,39.7771,-86.1458,1,False,Physical-Weight Leverage,Black,White,Male,Male
28,2014-09-01,39.7771,-86.1458,1,False,Physical-Handcuffing,Black,White,Male,Male
29,2014-09-01,39.7771,-86.1458,1,False,Physical-Joint/Pressure,Black,White,Male,Male
30,2014-09-01,39.7771,-86.1458,1,False,Physical-Joint/Pressure,White,White,Female,Male
31,2014-09-01,39.7771,-86.1458,1,False,Physical-Handcuffing,Black,White,Male,Female
