,incident_number,incident_date,subject_age,state,city,lon,lat
0,281,2016-01-17 00:00:00+00:00,26,NE,Lincoln,-96.681679,40.806862
1,282,2016-01-17 00:00:00+00:00,21,NE,Lincoln,-96.681679,40.806862
2,283,2016-01-17 00:00:00+00:00,26,NE,Lincoln,-96.681679,40.806862
3,284,2016-01-18 00:00:00+00:00,30,NE,Lincoln,-96.681679,40.806862
4,285,2016-01-20 00:00:00+00:00,25,NE,Lincoln,-96.681679,40.806862
5,286,2016-01-22 00:00:00+00:00,33,NE,Lincoln,-96.681679,40.806862
6,287,2016-01-22 00:00:00+00:00,27,NE,Lincoln,-96.681679,40.806862
7,288,2016-01-30 00:00:00+00:00,34,NE,Lincoln,-96.681679,40.806862
8,289,2016-01-30 00:00:00+00:00,21,NE,Lincoln,-96.681679,40.806862
9,290,2016-01-31 00:00:00+00:00,30,NE,Lincoln,-96.681679,40.806862
10,291,2016-02-06 00:00:00+00:00,15,NE,Lincoln,-96.681679,40.806862
11,292,2016-02-13 00:00:00+00:00,43,NE,Lincoln,-96.681679,40.806862
12,293,2016-02-13 00:00:00+00:00,18,NE,Lincoln,-96.681679,40.806862
13,294,2016-02-13 00:00:00+00:00,43,NE,Lincoln,-96.681679,40.806862
14,295,2016-02-19 00:00:00+00:00,20,NE,Lincoln,-96.681679,40.806862
15,296,2016-02-19 00:00:00+00:00,20,NE,Lincoln,-96.681679,40.806862
16,297,2016-03-08 00:00:00+00:00,30,NE,Lincoln,-96.681679,40.806862
17,298,2016-03-10 00:00:00+00:00,27,NE,Lincoln,-96.681679,40.806862
18,299,2016-03-13 00:00:00+00:00,34,NE,Lincoln,-96.681679,40.806862
19,300,2016-03-14 00:00:00+00:00,26,NE,Lincoln,-96.681679,40.806862
20,301,2016-03-15 00:00:00+00:00,34,NE,Lincoln,-96.681679,40.806862
21,302,2016-03-18 00:00:00+00:00,38,NE,Lincoln,-96.681679,40.806862
22,303,2016-03-20 00:00:00+00:00,20,NE,Lincoln,-96.681679,40.806862
23,304,2016-03-20 00:00:00+00:00,35,NE,Lincoln,-96.681679,40.806862
24,305,2016-03-24 00:00:00+00:00,62,NE,Lincoln,-96.681679,40.806862
25,306,2016-03-28 00:00:00+00:00,23,NE,Lincoln,-96.681679,40.806862
26,307,2016-03-29 00:00:00+00:00,49,NE,Lincoln,-96.681679,40.806862
27,308,2016-04-01 00:00:00+00:00,31,NE,Lincoln,-96.681679,40.806862
28,309,2016-04-02 00:00:00+00:00,24,NE,Lincoln,-96.681679,40.806862
29,310,2016-04-12 00:00:00+00:00,31,NE,Lincoln,-96.681679,40.806862
30,311,2016-04-23 00:00:00+00:00,21,NE,Lincoln,-96.681679,40.806862
