,Date Occurred,lat,lon,Use of Force Level,Use of Force Reason
0,01/01/2016,29.9511,-90.0715,0,0.0
1,01/01/2016,29.9511,-90.0715,0,0.0
2,01/01/2016,29.9511,-90.0715,1,0.0
3,01/01/2016,29.9511,-90.0715,1,5.0
4,01/01/2016,29.9511,-90.0715,0,0.0
5,01/01/2016,29.9511,-90.0715,0,0.0
6,01/02/2016,29.9511,-90.0715,1,1.0
7,01/02/2016,29.9511,-90.0715,1,1.0
8,01/02/2016,29.9511,-90.0715,0,2.0
9,01/04/2016,29.9511,-90.0715,0,1.0
10,01/04/2016,29.9511,-90.0715,0,1.0
11,01/04/2016,29.9511,-90.0715,0,1.0
12,01/04/2016,29.9511,-90.0715,0,5.0
13,01/04/2016,29.9511,-90.0715,1,0.0
14,01/05/2016,29.9511,-90.0715,0,7.0
15,01/05/2016,29.9511,-90.0715,0,0.0
16,01/05/2016,29.9511,-90.0715,0,0.0
17,01/06/2016,29.9511,-90.0715,0,1.0
18,01/06/2016,29.9511,-90.0715,0,1.0
19,01/06/2016,29.9511,-90.0715,0,1.0
20,01/06/2016,29.9511,-90.0715,0,1.0
21,01/06/2016,29.9511,-90.0715,0,1.0
22,01/06/2016,29.9511,-90.0715,0,1.0
23,01/07/2016,29.9511,-90.0715,0,2.0
24,01/07/2016,29.9511,-90.0715,0,0.0
25,01/07/2016,29.9511,-90.0715,0,0.0
26,01/07/2016,29.9511,-90.0715,0,0.0
27,01/07/2016,29.9511,-90.0715,0,0.0
28,01/07/2016,29.9511,-90.0715,0,0.0
29,01/07/2016,29.9511,-90.0715,1,0.0
30,01/08/2016,29.9511,-90.0715,1,1.0
31,01/08/2016,29.9511,-90.0715,0,1.0
32,01/08/2016,29.9511,-90.0715,1,1.0
33,01/08/2016,29.9511,-90.0715,1,1.0
34,01/08/2016,29.9511,-90.0715,1,1.0
35,01/08/2016,29.9511,-90.0715,0,7.0
36,01/08/2016,29.9511,-90.0715,0,7.0
37,01/08/2016,29.9511,-90.0715,1,7.0
38,01/08/2016,29.9511,-90.0715,1,7.0
39,01/09/2016,29.9511,-90.0715,1,2.0
40,01/09/2016,29.9511,-90.0715,1,2.0
41,01/09/2016,29.9511,-90.0715,1,2.0
42,01/09/2016,29.9511,-90.0715,1,2.0
43,01/10/2016,29.9511,-90.0715,0,0.0
44,01/10/2016,29.9511,-90.0715,0,0.0
45,01/10/2016,29.9511,-90.0715,1,0.0
46,01/10/2016,29.9511,-90.0715,0,8.0
47,01/10/2016,29.9511,-90.0715,0,8.0
48,01/10/2016,29.9511,-90.0715,0,8.0
49,01/10/2016,29.9511,-90.0715,0,8.0
50,01/11/2016,29.9511,-90.0715,0,1.0
51,01/11/2016,29.9511,-90.0715,1,1.0
52,01/11/2016,29.9511,-90.0715,1,1.0
53,01/11/2016,29.9511,-90.0715,0,1.0
54,01/11/2016,29.9511,-90.0715,1,1.0
55,01/11/2016,29.9511,-90.0715,1,1.0
56,01/11/2016,29.9511,-90.0715,1,1.0
57,01/11/2016,29.9511,-90.0715,0,1.0
58,01/11/2016,29.9511,-90.0715,1,1.0
59,01/11/2016,29.9511,-90.0715,0,1.0
60,01/11/2016,29.9511,-90.0715,0,1.0
61,01/11/2016,29.9511,-90.0715,0,1.0
62,01/11/2016,29.9511,-90.0715,0,1.0
63,01/11/2016,29.9511,-90.0715,0,8.0
64,01/11/2016,29.9511,-90.0715,0,8.0
65,01/11/2016,29.9511,-90.0715,0,8.0
66,01/12/2016,29.9511,-90.0715,0,2.0
67,01/12/2016,29.9511,-90.0715,0,2.0
68,01/13/2016,29.9511,-90.0715,3,8.0
69,01/13/2016,29.9511,-90.0715,3,8.0
70,01/13/2016,29.9511,-90.0715,0,2.0
71,01/13/2016,29.9511,-90.0715,0,2.0
72,01/13/2016,29.9511,-90.0715,0,2.0
73,01/13/2016,29.9511,-90.0715,0,2.0
74,01/13/2016,29.9511,-90.0715,0,2.0
75,01/13/2016,29.9511,-90.0715,0,2.0
76,01/13/2016,29.9511,-90.0715,0,2.0
77,01/13/2016,29.9511,-90.0715,0,2.0
78,01/13/2016,29.9511,-90.0715,0,2.0
79,01/13/2016,29.9511,-90.0715,0,2.0
80,01/13/2016,29.9511,-90.0715,0,2.0
81,01/13/2016,29.9511,-90.0715,0,2.0
82,01/13/2016,29.9511,-90.0715,0,2.0
83,01/13/2016,29.9511,-90.0715,0,2.0
84,01/13/2016,29.9511,-90.0715,0,2.0
85,01/13/2016,29.9511,-90.0715,0,2.0
86,01/13/2016,29.9511,-90.0715,0,2.0
87,01/13/2016,29.9511,-90.0715,0,2.0
88,01/13/2016,29.9511,-90.0715,0,2.0
89,01/13/2016,29.9511,-90.0715,0,2.0
90,01/13/2016,29.9511,-90.0715,0,2.0
