,incident_number,subject_age,subject_gender,subject_race,subject_ethnicity,pd_force_type,officer's_gender,officer's_race/ethnicity,lon,lat
0,1,25.0,F,White,Hispanic,Forced to Ground,,,-72.088852,41.532227
1,2,23.0,M,Black,Non-Hisp.,Firearm Displayed,,,-72.088852,41.532227
2,3,29.0,M,White,Non-Hisp.,Firearm Discharged,,,-72.088852,41.532227
3,4,25.0,M,Black,Non-Hisp.,Taser Displayed,,,-72.088852,41.532227
4,5,43.0,M,White,Non-Hisp.,Forced to Ground,,,-72.088852,41.532227
5,6,25.0,F,White,Hispanic,"Non-Compliant Escort Position, Rear Wrist Lock",,,-72.088852,41.532227
6,7,32.0,M,Black,Non-Hisp.,Firearm Displayed,,,-72.088852,41.532227
7,8,26.0,M,White,Non-Hisp.,"Non-Compliant Escort Position, Rear Wrist Lock",,,-72.088852,41.532227
8,9,44.0,M,White,Non-Hisp.,Forced to Ground,,,-72.088852,41.532227
9,10,21.0,M,White,Non-Hisp.,Firearms Displayed,,,-72.088852,41.532227
10,11,23.0,M,White,Non-Hisp.,Firearm Displayed,,,-72.088852,41.532227
11,12,41.0,M,White,Non-Hisp.,Forced to Ground,,,-72.088852,41.532227
12,13,39.0,F,White,Non-Hisp.,Forced to Ground,,,-72.088852,41.532227
13,14,20.0,M,Black,Non-Hisp.,"Non-Compliant Escort Position, Rear Wrist Lock",,,-72.088852,41.532227
14,15,56.0,M,White,Non-Hisp.,Firearms Displayed,,,-72.088852,41.532227
15,16,30.0,M,White,Non-Hisp.,Taser Displayed,,,-72.088852,41.532227
16,17,56.0,M,White,Non-Hisp.,O.C. Spray/ Rear wrist lock,,,-72.088852,41.532227
17,18,45.0,M,White,Non-Hisp.,Taser Deployment/Escort Position,,,-72.088852,41.532227
18,19,40.0,M,Black,Non-Hisp.,Forced to Ground,,,-72.088852,41.532227
19,20,31.0,M,White,Non-Hisp.,Taser Displayed/Forced to Ground,,,-72.088852,41.532227
20,21,22.0,M,Black,Non-Hisp.,Forced to Ground,,,-72.088852,41.532227
21,22,45.0,M,Black,Non-Hisp.,Taser Deployment/Forced to ground,,,-72.088852,41.532227
22,23,21.0,M,Black,Non-Hisp.,Taser Deployment/Forced to ground,,,-72.088852,41.532227
23,24,20.0,M,Black,Non-Hisp.,Forced to Ground/Elbow & Knee strike,,,-72.088852,41.532227
24,25,36.0,M,White,Non-Hisp.,Forced to Ground/Escort Position,,,-72.088852,41.532227
25,26,45.0,M,Black,Non-Hisp.,Taser Deployment,,,-72.088852,41.532227
