,city_ascii,admin_name,country,lat,lng
1,New York,New York,United States,40.6943,-73.9249
8,Los Angeles,California,United States,34.1139,-118.4068
24,Chicago,Illinois,United States,41.8373,-87.6862
40,Miami,Florida,United States,25.7839,-80.2102
42,Dallas,Texas,United States,32.7936,-96.7662
44,Philadelphia,Pennsylvania,United States,40.0077,-75.1339
47,Houston,Texas,United States,29.7869,-95.3905
50,Washington,District of Columbia,United States,38.9047,-77.0163
51,Atlanta,Georgia,United States,33.7627,-84.4225
61,Boston,Massachusetts,United States,42.3188,-71.0846
73,Phoenix,Arizona,United States,33.5722,-112.0891
87,Seattle,Washington,United States,47.6211,-122.3244
89,San Francisco,California,United States,37.7562,-122.443
92,Detroit,Michigan,United States,42.3834,-83.1024
105,San Diego,California,United States,32.8312,-117.1225
124,Minneapolis,Minnesota,United States,44.9635,-93.2678
131,Tampa,Florida,United States,27.9942,-82.4451
135,Denver,Colorado,United States,39.7621,-104.8759
146,Brooklyn,New York,United States,40.6501,-73.9496
175,Queens,New York,United States,40.7498,-73.7976
187,Baltimore,Maryland,United States,39.3051,-76.6144
200,Riverside,California,United States,33.9381,-117.3948
202,St. Louis,Missouri,United States,38.6358,-90.2451
203,Las Vegas,Nevada,United States,36.2333,-115.2654
207,Portland,Oregon,United States,45.5371,-122.65
215,San Antonio,Texas,United States,29.4658,-98.5254
230,Sacramento,California,United States,38.5667,-121.4683
232,San Jose,California,United States,37.3021,-121.8489
236,Orlando,Florida,United States,28.4772,-81.3369
247,Cleveland,Ohio,United States,41.4767,-81.6805
250,Pittsburgh,Pennsylvania,United States,40.4396,-79.9763
267,Cincinnati,Ohio,United States,39.1412,-84.506
269,Manhattan,New York,United States,40.7834,-73.9662
272,Austin,Texas,United States,30.3006,-97.7517
277,Kansas City,Missouri,United States,39.1239,-94.5541
286,Indianapolis,Indiana,United States,39.7771,-86.1458
299,Columbus,Ohio,United States,39.986,-82.9851
312,Virginia Beach,Virginia,United States,36.7335,-76.0435
317,Charlotte,North Carolina,United States,35.2079,-80.8304
323,Bronx,New York,United States,40.8501,-73.8662
349,Milwaukee,Wisconsin,United States,43.0642,-87.9673
398,Providence,Rhode Island,United States,41.823,-71.4187
412,Jacksonville,Florida,United States,30.3322,-81.6749
445,Salt Lake City,Utah,United States,40.7774,-111.93
455,Nashville,Tennessee,United States,36.1715,-86.7843
458,Memphis,Tennessee,United States,35.1046,-89.9773
462,Richmond,Virginia,United States,37.5295,-77.4756
